robot_id,joint_id,joint_name,joint_group,current_angle,min_angle,max_angle,temperature,torque,status,wear_level,id,created_date,updated_date,created_by_id,created_by,is_sample
"692bceb9157fcdde9d5bb1c3","1","Head Yaw","head","15","-90","90","38","25","normal","12","692bcede157fcdde9d5bb1d0","2025-11-30T04:58:06.313000","2025-11-30T04:58:06.313000","692bcd1e7b93ba81de5430e5","selvipavi84@gmail.com","false"
"692bceb9157fcdde9d5bb1c3","2","Head Pitch","head","-5","-45","45","36","30","normal","8","692bcede157fcdde9d5bb1d1","2025-11-30T04:58:06.313000","2025-11-30T04:58:06.313000","692bcd1e7b93ba81de5430e5","selvipavi84@gmail.com","false"
"692bceb9157fcdde9d5bb1c3","3","Torso Yaw","torso","0","-60","60","42","55","normal","18","692bcede157fcdde9d5bb1d2","2025-11-30T04:58:06.313000","2025-11-30T04:58:06.313000","692bcd1e7b93ba81de5430e5","selvipavi84@gmail.com","false"
"692bceb9157fcdde9d5bb1c3","4","Torso Pitch","torso","5","-30","30","44","60","warning","45","692bcede157fcdde9d5bb1d3","2025-11-30T04:58:06.313000","2025-11-30T04:58:06.313000","692bcd1e7b93ba81de5430e5","selvipavi84@gmail.com","false"
"692bceb9157fcdde9d5bb1c3","5","Torso Roll","torso","-2","-20","20","41","58","normal","22","692bcede157fcdde9d5bb1d4","2025-11-30T04:58:06.313000","2025-11-30T04:58:06.313000","692bcd1e7b93ba81de5430e5","selvipavi84@gmail.com","false"
"692bceb9157fcdde9d5bb1c3","6","L Shoulder Pitch","left_arm","-45","-180","90","39","45","normal","15","692bcede157fcdde9d5bb1d5","2025-11-30T04:58:06.313000","2025-11-30T04:58:06.313000","692bcd1e7b93ba81de5430e5","selvipavi84@gmail.com","false"
"692bceb9157fcdde9d5bb1c3","7","L Shoulder Roll","left_arm","20","-30","180","38","40","normal","10","692bcede157fcdde9d5bb1d6","2025-11-30T04:58:06.313000","2025-11-30T04:58:06.313000","692bcd1e7b93ba81de5430e5","selvipavi84@gmail.com","false"
"692bceb9157fcdde9d5bb1c3","8","L Shoulder Yaw","left_arm","0","-120","120","37","35","normal","8","692bcede157fcdde9d5bb1d7","2025-11-30T04:58:06.313000","2025-11-30T04:58:06.313000","692bcd1e7b93ba81de5430e5","selvipavi84@gmail.com","false"
"692bceb9157fcdde9d5bb1c3","9","L Elbow Pitch","left_arm","-30","-120","0","40","50","normal","20","692bcede157fcdde9d5bb1d8","2025-11-30T04:58:06.313000","2025-11-30T04:58:06.313000","692bcd1e7b93ba81de5430e5","selvipavi84@gmail.com","false"
"692bceb9157fcdde9d5bb1c3","10","L Wrist Yaw","left_arm","0","-90","90","35","20","normal","5","692bcede157fcdde9d5bb1d9","2025-11-30T04:58:06.313000","2025-11-30T04:58:06.313000","692bcd1e7b93ba81de5430e5","selvipavi84@gmail.com","false"
